raion	punkt	stattia	storinka	zhadky	mistok
Чорнобильський район	Крива Гора	довідка	725	725	
Чорнобильський район	Купувате	довідка	725	725	
Чорнобильський район	Ладижичі	довідка	725	725, 727	
Чорнобильський район	Машеве	довідка	725	725	
Чорнобильський район	Новошепеличі	довідка	725	725	
Чорнобильський район	Опачичі	довідка	726	726	
Чорнобильський район	Паришів	довідка	726	726	
Чорнобильський район	Річиця	довідка	726	726	
Чорнобильський район	Розсоха	довідка	726	726	
Чорнобильський район	Старі Шепеличі	довідка	726	726	
Чорнобильський район	Стечанка	довідка	726	726	
Чорнобильський район	Страхолісся	довідка	727	727	
Чорнобильський район	Теремці	довідка	727	727	
Чорнобильський район	Терехів	довідка	727	727	
Чорнобильський район	Товстий Ліс	довідка	727	538, 539, 727	
Чорнобильський район	Чапаєвка	довідка	727	11, 727	
Чорнобильський район	Черевач	довідка	727	727	
Чорнобильський район	Чистогалівка	довідка	727	727	
Яготинський район	Яготин	нарис	728	26, 62, 75, 479, 523, 524, 527, 564, 728-739, 748	
Яготинський район	Згурівка	нарис	739	26, 739-745, 748	
Яготинський район	Аркадіївка	довідка	746	739, 746	
Яготинський район	Безуглівка	довідка	746	746	
Яготинський район	Богданівка	довідка	746	746	
Яготинський район	Годунівка	довідка	746	746	
Яготинський район	Жовтневе	довідка	746	746	
Яготинський район	Жоравка	довідка	746	746, 747, 731	
Яготинський район	Засупоївка	довідка	747	747	
Яготинський район	Капустинці	довідка	747	747	
Яготинський район	Красне	довідка	747	747	
Яготинський район	Кулябівка	довідка	747	747	
Яготинський район	Лемешівка	довідка	747	747	
Яготинський район	Лизогубова Слобода	довідка	747	747	
Яготинський район	Лозовий Яр	довідка	747	747	
Яготинський район	Мала Березанка	довідка	747	747	
Яготинський район	Ничипорівка	довідка	748	-	
Яготинський район	Нова Олександрівка	довідка	748	-	
Яготинський район	Нова Оржиця	довідка	748	748	
Яготинський район	Панфили	довідка	748	748	
Яготинський район	Пасківщина	довідка	748	748	
Яготинський район	Райківщина	довідка	748	748	
Яготинський район	Середівка	довідка	748	748	
Яготинський район	Сотниківка	довідка	748	748	
Яготинський район	Стара Оржиця	довідка	748	748	
Яготинський район	Сулимівка	довідка	748	748-749	
Яготинський район	Супоївка	довідка	749	749	
Яготинський район	Турівка	довідка	749	749	
Яготинський район	Фарбоване	довідка	749	749	
Яготинський район	Черевки	довідка	749	749	
Яготинський район	Черняхівка	довідка	749	? (3 однойменних)	
